2020bb,2020 Super Baseball
rohgau,Rohga Armor Force
rthun2,Rolling Thunder 2
rthunder,Rolling Thunder
rtype2,R-Type II
rtypeleo,R-Type Leo
rtypeu,R-Type
rushatck,Rush-n Attack
rygar,Rygar
s1945,Strikers 1945
s1945ii,Strikers 1945 II
s1945iii,Strikers 1945 III
samuraia,Sengoku Aces
scontra,Super Contra
seawolf,Sea Wolf
seganinu,Sega Ninja
sf1us,Street Fighter
sf2,Street Fighter II : The World Warrior
sf2t,Street Fighter II : Champion Edition
sfa2,Street Fighter Alpha 2
sfa3,Street Fighter Alpha 3
sgemf,Super Gem Fighter: Mini Mix
shadfrce,Shadow Force
shangon,Super Hang-On
shaolins,Kicker
sharrier,Space Harrier
shdancer,Shadow Dancer
shinobi,Shinobi
shollow,Satans Hollow
sidearmr,Side Arms - Hyper Dyne
simpsn2p,The Simpsons
sinistar,Sinistar
slammasu,Saturday Night Slam Masters
slyspy,Sly Spy
smashtv,Smash TV
snowbrob,Snow Bros - Nick and Tom
solomon,Solomons Key
sonic,Segasonic The Hedgehog
sonson,Son Son
spf2t,Super Puzzle Fighter II Turbo
spidey,Spider-Man: The Videogame
splatter,Splatter House
spnchout,Super Punch-Out
spyhunt,Spy Hunter
ssf2t,Super Street Fighter II Turbo
ssprint,Super Sprint
ssrdrubc,Sunset Riders
starcas,Star Castle
starwars,Star Wars
stdragon,Saint Dragon
stmblade,Storm Blade
strider,Strider
superman,Superman
superpac,Super Pac-Man
tapper,Tapper
tekken,Tekken
tekken2,Tekken 2
tekken3,Tekken 3
tempest,Tempest
tetris,Tetris
thndrbld,Thunder Blade
tigeroad,Tiger Road
timeplt,Time Pilot
tmnt22p,Teenage Mutant Ninja Turtles: Turtles in Time
tmnt2po,Teenage Mutant Ninja Turtles
tnzsb,The NewZealand Story
tokiu,Toki
toobin,Toobin
trackfld,Track and Field
trojan,Trojan
tron,Tron
truxton2,Truxton II
tumblep,Tumble Pop
typhoon,Ajax
uccops,Undercover Cops
umk3,Ultimate Mortal Kombat 3
unsquad,UN Squadron
upndown,Up n Down
valkyrie,Valkyrie no Densetsu
varthu,Varth: Operation Thunderstorm
vball,US Championship V-ball
vendet2p,Vendetta
vf,Virtua Fighter
vigilntu,Vigilante
viostorm,Violent Storm
volfied,Volfied
vsav2,Vampire Savior 2: The Lord of Vampire
vsavu,Vampire Savior: The Lord of Vampire
wb3,Wonder Boy III - Monster Lair
wbmlb,Wonder Boy in Monster Land
wboyu,Wonder Boy
wildfang,Tecmo Knight
willow,Willow
wofu,Warriors of Fate
wow,Wizard of Wor
xevious,Xevious
xexex,Xexex
xmcotau,X-Men: Children of the Atom
xmen2p,X-Men
xmultipl,X Multiply
xmvsfu,X-Men vs Street Fighter
zaxxon,Zaxxon
zerowing,Zero Wing
zookeep,Zoo Keeper
